h1,h2,h3,d1,d2,d3,lr,wd,bs,ls,best_val_acc
1024,512,128,0.3,0.5,0.1,0.001,0.01,128,0.1,20.537897310513447
512,512,128,0.4,0.4,0.4,0.005,0.001,32,0.15,20.17114914425428
2048,768,256,0.6,0.4,0.1,0.01,0.001,64,0.1,20.04889975550122
1024,768,192,0.4,0.2,0.1,0.0005,0.01,64,0.15,19.804400977995112
1024,768,128,0.3,0.2,0.2,0.005,0.005,128,0.0,18.337408312958434
512,512,192,0.4,0.5,0.1,0.001,0.001,32,0.0,16.87041564792176
2048,384,192,0.5,0.2,0.2,0.0005,0.01,64,0.05,16.625916870415647
1536,768,192,0.3,0.3,0.3,0.005,0.005,64,0.15,15.525672371638143
1024,512,128,0.4,0.4,0.4,0.0001,0.005,64,0.05,14.669926650366747
512,512,192,0.4,0.2,0.2,0.0001,0.1,32,0.15,14.547677261613693
2048,256,128,0.3,0.3,0.2,0.0001,0.001,32,0.05,14.425427872860636
512,768,256,0.3,0.5,0.1,0.0001,0.01,128,0.1,14.30317848410758
2048,512,128,0.5,0.4,0.2,0.001,0.1,128,0.05,14.058679706601467
1536,384,128,0.5,0.3,0.1,0.0001,0.01,64,0.0,13.814180929095354
1024,384,192,0.6,0.4,0.2,0.001,0.1,32,0.0,10.146699266503667
512,384,128,0.6,0.3,0.3,0.0001,0.001,64,0.05,9.168704156479217
512,256,256,0.5,0.3,0.2,0.005,0.1,128,0.0,8.43520782396088
1024,256,128,0.4,0.4,0.1,0.005,0.1,64,0.1,6.356968215158925
1024,512,192,0.5,0.5,0.4,0.01,0.05,32,0.0,4.400977995110025
1536,256,256,0.4,0.3,0.1,0.01,0.1,32,0.0,3.4229828850855744
